countryId,yearId,deathCauseId,count
11,41,18,5410
11,41,19,7055
11,41,20,0
11,41,21,15
11,41,22,408
11,41,23,810
11,41,24,0
11,41,25,1
11,41,26,0
11,41,27,3
11,41,28,1
12,41,1,3858
12,41,2,13008
12,41,3,2623
12,41,4,3818
12,41,5,2481
12,41,6,1099
12,41,7,1090
12,41,8,3132
12,41,9,3747
12,41,10,5020
12,41,11,246
12,41,12,1300
12,41,13,4140
12,41,14,509
12,41,15,584
12,41,16,6927
12,41,17,3059
12,41,18,7968
12,41,19,5616
12,41,20,901
12,41,21,758
12,41,22,101
12,41,23,107
12,41,24,11
12,41,25,889
12,41,26,83
12,41,27,1518
12,41,28,14
13,41,1,60
13,41,2,273
13,41,3,24
13,41,4,48
13,41,5,103
13,41,6,21
13,41,7,5
13,41,8,20
13,41,9,45
13,41,10,13
13,41,11,62
13,41,12,20
13,41,13,8
13,41,14,9
13,41,15,28
13,41,16,93
13,41,17,174
13,41,18,68
13,41,19,187
13,41,20,2
13,41,21,5
13,41,22,4
13,41,23,6
13,41,24,0
13,41,25,1
13,41,26,0
13,41,27,2
13,41,28,0
14,41,1,297
14,41,2,425
14,41,3,17
14,41,4,143
14,41,5,49
14,41,6,17
14,41,7,4
14,41,8,64
14,41,9,126
14,41,10,13
14,41,11,5
14,41,12,27
14,41,13,26
14,41,14,14
14,41,15,74
14,41,16,311
14,41,17,360
14,41,18,321
14,41,19,338
14,41,20,2
14,41,21,3
14,41,22,6
14,41,23,8
14,41,24,0
14,41,25,2
14,41,26,0
14,41,27,2
14,41,28,1
15,41,1,24412
15,41,2,66413
15,41,3,6171
15,41,4,6422
15,41,5,5977
15,41,6,15150
15,41,7,99476
15,41,8,21848
15,41,9,161413
15,41,10,172092
15,41,11,3767
15,41,12,5582
15,41,13,168188
15,41,14,11352
15,41,15,3449
15,41,16,87248
15,41,17,33144
15,41,18,189795
15,41,19,6523
15,41,20,75019
15,41,21,54756
15,41,22,717
15,41,23,986
15,41,24,4726
15,41,25,34218
15,41,26,771
15,41,27,18651
15,41,28,4285
16,41,1,151
16,41,2,433
16,41,3,26
16,41,4,89
16,41,5,69
16,41,6,66
16,41,7,6
16,41,8,27
16,41,9,37
16,41,10,11
16,41,11,56
16,41,12,3
16,41,13,1
16,41,14,38
16,41,15,90
16,41,16,135
16,41,17,467
16,41,18,152
16,41,19,288
16,41,20,3
16,41,21,8
16,41,22,3
16,41,23,8
16,41,24,0
16,41,25,0
16,41,26,0
16,41,27,1
16,41,28,0
17,41,1,10840
17,41,2,34573
17,41,3,2224
17,41,4,10480
17,41,5,6194
17,41,6,3608
17,41,7,36
17,41,8,2464
